filename,n_redactions
00816.txt,0
00817.txt,5
00818.txt,11
00819.txt,13
00820.txt,1
00821.txt,4
00822.txt,9
00823.txt,19
00824.txt,1
00825.txt,0
00826.txt,14
00827.txt,0
00828.txt,12
00829.txt,69
00830.txt,0
00831.txt,16
00832.txt,20
00833.txt,27
00834.txt,20
00835.txt,27
00836.txt,19
00837.txt,17
00838.txt,7
00839.txt,2
00840.txt,9
00841.txt,33
00842.txt,11
00843.txt,4
00844.txt,4
00845.txt,2
00846.txt,52
00847.txt,55
00848.txt,6
00849.txt,29
00850.txt,25
00851.txt,10
00852.txt,7
00853.txt,13
00854.txt,5
00855.txt,77
00856.txt,16
00857.txt,6
00858.txt,0
00859.txt,16
00860.txt,0
00861.txt,7
00862.txt,11
00863.txt,6
00864.txt,18
00865.txt,17
00866.txt,27
00867.txt,4
00868.txt,16
00869.txt,9
00870.txt,13
00871.txt,1
00872.txt,16
00873.txt,42
00874.txt,0
00875.txt,20
00876.txt,123
00877.txt,9
00878.txt,24
00879.txt,15
00880.txt,11
00881.txt,2
00882.txt,3
00883.txt,17
00884.txt,28
00885.txt,6
00886.txt,50
00887.txt,9
00888.txt,9
00889.txt,9
00890.txt,17
00891.txt,11
00892.txt,3
00893.txt,17
00894.txt,15
00895.txt,12
00896.txt,1
00897.txt,2
00898.txt,3
00899.txt,46
00900.txt,6
00901.txt,18
00902.txt,45
00903.txt,3
00904.txt,23
00905.txt,1
00906.txt,46
00907.txt,1
00908.txt,18
00909.txt,7
00911.txt,3
00912.txt,10
00913.txt,3
00914.txt,11
00915.txt,4
00916.txt,8
00917.txt,38
00918.txt,24
00919.txt,45
00920.txt,46
00921.txt,15
00922.txt,9
00923.txt,4
00924.txt,29
00925.txt,3
00926.txt,17
00927.txt,14
00928.txt,3
00929.txt,92
00930.txt,6
00931.txt,70
00932.txt,11
00933.txt,8
00934.txt,6
00935.txt,68
00936.txt,3
00937.txt,7
00938.txt,34
00939.txt,1
00940.txt,9
00941.txt,33
00942.txt,3
00943.txt,3
00944.txt,35
00945.txt,25
00946.txt,17
00947.txt,8
00948.txt,47
00949.txt,20
00950.txt,4
00951.txt,0
00952.txt,5
00953.txt,0
00954.txt,6
00955.txt,1
00956.txt,38
00957.txt,9
00958.txt,3
00959.txt,4
00960.txt,2
00961.txt,17
00962.txt,0
00963.txt,11
00964.txt,4
00965.txt,9
00966.txt,24
00967.txt,8
00968.txt,3
00969.txt,10
00970.txt,18
00971.txt,4
00973.txt,2
00974.txt,17
00975.txt,17
00976.txt,7
00977.txt,18
00978.txt,2
00979.txt,31
00980.txt,6
00981.txt,8
00982.txt,99
00983.txt,40
00984.txt,4
00985.txt,10
00986.txt,2
00987.txt,6
00988.txt,8
00989.txt,9
00990.txt,13
00991.txt,47
00992.txt,9
00993.txt,20
00994.txt,10
00995.txt,21
00996.txt,25
00997.txt,7
00998.txt,24
00999.txt,15
01000.txt,12
01001.txt,10
01002.txt,4
01003.txt,15
01004.txt,24
01005.txt,6
01006.txt,9
01007.txt,4
01008.txt,9
01009.txt,2
01010.txt,33
01011.txt,27
01012.txt,6
01013.txt,7
01014.txt,12
01015.txt,3
01016.txt,6
01017.txt,98
01018.txt,0
01019.txt,0
01020.txt,8
01021.txt,10
01022.txt,2
01023.txt,9
01024.txt,0
01025.txt,9
01026.txt,16
01027.txt,0
01028.txt,2
01029.txt,3
01030.txt,0
01031.txt,5
01032.txt,41
01033.txt,33
01034.txt,9
01035.txt,8
01036.txt,8
01037.txt,12
01038.txt,4
01039.txt,0
01040.txt,4
01041.txt,35
01042.txt,3
01043.txt,10
01044.txt,11
01045.txt,13
01046.txt,3
01047.txt,0
01048.txt,8
01049.txt,1
01050.txt,1
01051.txt,72
01052.txt,6
01053.txt,1
01054.txt,11
01055.txt,1
01056.txt,6
01057.txt,11
01058.txt,14
01059.txt,9
01060.txt,7
01061.txt,0
01062.txt,9
01063.txt,65
01064.txt,0
01065.txt,1
01066.txt,25
01067.txt,2
01068.txt,9
01069.txt,1
01070.txt,3
01071.txt,4
01072.txt,21
01073.txt,41
01074.txt,46
01075.txt,23
01076.txt,8
01077.txt,4
01078.txt,2
01079.txt,8
01080.txt,5
01081.txt,4
01082.txt,7
01083.txt,18
01084.txt,2
01085.txt,5
01086.txt,47
01087.txt,1
01088.txt,13
01089.txt,19
01090.txt,8
01091.txt,5
01092.txt,13
01093.txt,8
01094.txt,6
01095.txt,28
01096.txt,110
01097.txt,29
01098.txt,8
01099.txt,21
01100.txt,3
01101.txt,9
01102.txt,2
01103.txt,46
01104.txt,12
01105.txt,4
01106.txt,5
01107.txt,46
01108.txt,20
01109.txt,18
01110.txt,3
01111.txt,2
01112.txt,22
01113.txt,26
01114.txt,28
01115.txt,0
01116.txt,34
01117.txt,1
01118.txt,18
01119.txt,2
01120.txt,10
01121.txt,10
01122.txt,11
01123.txt,21
01124.txt,28
01125.txt,6
01126.txt,4
01127.txt,11
01128.txt,0
01129.txt,11
01130.txt,13
01131.txt,17
01132.txt,13
01133.txt,3
01134.txt,17
01135.txt,36
01136.txt,25
01137.txt,8
01138.txt,7
01139.txt,0
01140.txt,2
01141.txt,0
01142.txt,35
01143.txt,11
01144.txt,16
01145.txt,3
01146.txt,23
01147.txt,31
01148.txt,10
01149.txt,14
01150.txt,13
01151.txt,2
01152.txt,3
01153.txt,14
01154.txt,3
01155.txt,10
01156.txt,26
01157.txt,2
01158.txt,6
01159.txt,3
01160.txt,53
01161.txt,10
01162.txt,2
01163.txt,9
01164.txt,6
01165.txt,30
01166.txt,20
01167.txt,11
01168.txt,11
01169.txt,22
01170.txt,7
01171.txt,3
01172.txt,40
01173.txt,0
01174.txt,0
01175.txt,7
01176.txt,13
01177.txt,24
01178.txt,3
01179.txt,3
01180.txt,11
01181.txt,7
01182.txt,3
01183.txt,0
01184.txt,95
01185.txt,16
01186.txt,8
01187.txt,14
01188.txt,9
01189.txt,4
01190.txt,32
01191.txt,3
01192.txt,2
01193.txt,1
01194.txt,4
01195.txt,7
01196.txt,2
01197.txt,4
01198.txt,0
01199.txt,5
01200.txt,1
01201.txt,1
01202.txt,8
01203.txt,9
01204.txt,32
01205.txt,19
01206.txt,16
01207.txt,49
01208.txt,9
01209.txt,6
01210.txt,9
01211.txt,30
01212.txt,14
01213.txt,0
01214.txt,9
01215.txt,20
01216.txt,5
01217.txt,4
01218.txt,8
01219.txt,19
01220.txt,18
01221.txt,5
01222.txt,6
01223.txt,15
01224.txt,6
01225.txt,8
01226.txt,2
01227.txt,12
01228.txt,198
01229.txt,15
01230.txt,0
01231.txt,24
01232.txt,19
01233.txt,5
01234.txt,12
01235.txt,22
01236.txt,23
01237.txt,2
01238.txt,83
01239.txt,16
01240.txt,4
01241.txt,37
01242.txt,3
01243.txt,17
01244.txt,4
01245.txt,10
01246.txt,32
01247.txt,2
01248.txt,10
01249.txt,9
01250.txt,9
01251.txt,14
01252.txt,7
01253.txt,6
01254.txt,4
01255.txt,0
01256.txt,59
01257.txt,0
01258.txt,19
01259.txt,5
01260.txt,0
01261.txt,21
01262.txt,2
01263.txt,3
01264.txt,1
01265.txt,15
01266.txt,5
01267.txt,0
01268.txt,2
01269.txt,5
01270.txt,9
01271.txt,16
01272.txt,34
01273.txt,10
01274.txt,16
01275.txt,2
01276.txt,26
01277.txt,13
01278.txt,21
01279.txt,33
01280.txt,3
01281.txt,11
01282.txt,38
01283.txt,22
01284.txt,4
01285.txt,8
01286.txt,13
01287.txt,13
01288.txt,16
01289.txt,13
01290.txt,18
01291.txt,2
01292.txt,17
01293.txt,7
01294.txt,19
01295.txt,26
01296.txt,22
01297.txt,49
01298.txt,0
01299.txt,1
01300.txt,1
01301.txt,22
01302.txt,3
01304.txt,2
01305.txt,4
01306.txt,59
01307.txt,2
01308.txt,1
01309.txt,57
01310.txt,19
01311.txt,13
01312.txt,6
01313.txt,6
01314.txt,1
01315.txt,3
01316.txt,2
01317.txt,0
01318.txt,3
01319.txt,14
01320.txt,8
01321.txt,93
01322.txt,4
01323.txt,34
01324.txt,12
01325.txt,9
01326.txt,87
01327.txt,5
01328.txt,21
01329.txt,1
01330.txt,21
01331.txt,24
01332.txt,0
01333.txt,12
01334.txt,11
01335.txt,15
01336.txt,22
01337.txt,21
01338.txt,1
01339.txt,27
01340.txt,23
01341.txt,15
01342.txt,5
01343.txt,18
01344.txt,18
01345.txt,7
01346.txt,34
01347.txt,18
01348.txt,17
01349.txt,40
01350.txt,52
01351.txt,7
01352.txt,7
01353.txt,20
01354.txt,11
01355.txt,13
01356.txt,41
01357.txt,1
01358.txt,3
01359.txt,5
01360.txt,8
01361.txt,4
01362.txt,13
01363.txt,0
01364.txt,27
01365.txt,8
01366.txt,1
01367.txt,8
01368.txt,3
01369.txt,9
01370.txt,2
01371.txt,34
01372.txt,8
01373.txt,5
01374.txt,15
01375.txt,5
01376.txt,27
01377.txt,2
01378.txt,6
01379.txt,6
01380.txt,26
01381.txt,23
01382.txt,0
01383.txt,31
01384.txt,26
01385.txt,21
01386.txt,13
01387.txt,6
01388.txt,7
01389.txt,8
01390.txt,17
01391.txt,5
01392.txt,1
01393.txt,9
01394.txt,2
01395.txt,1
01396.txt,6
01397.txt,99
01398.txt,30
01399.txt,24
01400.txt,10
01401.txt,3
01402.txt,11
01403.txt,0
01404.txt,13
01405.txt,109
01406.txt,8
01407.txt,7
01408.txt,11
01409.txt,9
01410.txt,34
01411.txt,14
01412.txt,9
01413.txt,9
01414.txt,17
01415.txt,26
01416.txt,3
01417.txt,13
01418.txt,9
01419.txt,16
01420.txt,26
01421.txt,7
01422.txt,10
01423.txt,3
01424.txt,5
01425.txt,52
01426.txt,8
01427.txt,3
01428.txt,41
01429.txt,8
01430.txt,14
01431.txt,1
01432.txt,15
01433.txt,14
01434.txt,2
01435.txt,3
01436.txt,21
01437.txt,0
01438.txt,16
01439.txt,9
01440.txt,4
01441.txt,19
01442.txt,29
01443.txt,9
01444.txt,12
01445.txt,30
01446.txt,23
01447.txt,29
01448.txt,221
01449.txt,29
01450.txt,16
01451.txt,6
01452.txt,26
01453.txt,14
01454.txt,14
01455.txt,3
01456.txt,12
01457.txt,10
01458.txt,12
01459.txt,12
01460.txt,59
01461.txt,21
01462.txt,21
01463.txt,75
01464.txt,28
01465.txt,28
01466.txt,84
01467.txt,9
01468.txt,9
01469.txt,12
01470.txt,9
01471.txt,15
01472.txt,3
01473.txt,63
01474.txt,12
01475.txt,27
01476.txt,67
01477.txt,60
01478.txt,60
01479.txt,56
01480.txt,18
01481.txt,84
01482.txt,84
01483.txt,22
01484.txt,22
01485.txt,28
01486.txt,28
01487.txt,21
01488.txt,21
01489.txt,20
01490.txt,20
01491.txt,9
01492.txt,15
01493.txt,15
01494.txt,23
01495.txt,23
01496.txt,23
01497.txt,23
01498.txt,121
01499.txt,3
01500.txt,14
01501.txt,1
01502.txt,5
01503.txt,33
01504.txt,7
01505.txt,13
01506.txt,1
01507.txt,7
01508.txt,1
01509.txt,3
01510.txt,9
01511.txt,4
01512.txt,20
01513.txt,5
01514.txt,3
01515.txt,8
01516.txt,42
01517.txt,1
01518.txt,30
01519.txt,77
01520.txt,14
01521.txt,14
01522.txt,6
01523.txt,7
01524.txt,0
01525.txt,3
01526.txt,4
01527.txt,8
01528.txt,80
01529.txt,1
01530.txt,2
01531.txt,2
01532.txt,19
